"name","lon","lat","region"
"Hancock Woodlands",-79.5990379,43.576422,"Peel"
"Garden of the Valley",-79.441512,43.7018751,"Peel"
"Hillside Garden",-79.646017,43.509792,"Peel"
"Parkway Green Garden",-79.6320904,43.6053403,"Peel"
"Iceland Urban Agriculture Teaching Garden",-79.6489825,43.6282702,"Peel"
"Churchill Meadows Garden",-79.744393,43.555197,"Peel"
"Forest Glen Community Garden",-79.591374,43.62606,"Peel"
"Malton Garden",-79.6388904,43.7235142,"Peel"
"Gateway Centre Garden for New Canadians",-79.6499474,43.5721403,"Peel"
"Castlebridge Public School Garden",-79.7328893,43.5680806,"Peel"
"Angela's Place Community Garden",-79.2202291,43.8053274,"Peel"
"CFS Community Resource Team Ladies First Project - Colonial Gardeners",-79.6852372,43.5367785,"Peel"
"Norton Park Community Garden",-79.7285557,43.706849,"Peel"
"PCHS Sahara Seniors Garden",-79.757952,43.788438,"Peel"
"Creditview Park Community",-79.8321474,43.6859208,"Peel"
"McMurchy Community Garden",-79.4581714,43.8432286,"Peel"
"Camille's Place",-79.6821903,43.5774683,"Peel"
"Wheely Great Veggie Container Gardens",-79.644421,43.5892436,"Peel"
"Legends Community Garden",-78.8517952,43.9491729,"Durham"
"Mary Street Community Garden",-78.873092,43.927433,"Durham"
"The Pepper Patch",-78.8622978,43.8943382,"Durham"
"Ajax Community Garden",-79.016048,43.848959,"Durham"
"Bowmanville Ecology Garden",-78.674555,43.899871,"Durham"
"Care and Share Community Permaculture Garden",-78.9520669,44.1105145,"Durham"
"The Garden of Eatin",-79.161472,44.206008,"Durham"
"Grassmere Garden of Health",-78.844811,43.869683,"Durham"
"Hope Community Garden",-78.7784636,43.8955653,"Durham"
"Maple Tree Community Garden",-79.03897084,44.346195,"Durham"
"St Andrew's Community Garden",-79.063668,43.856927,"Durham"
"Salvation Army Garden",-78.902111,43.906425,"Durham"
"Trent Organic Community Garden",-78.891288,43.8902615,"Durham"
"Valley Plentiful",-79.078673,43.844393,"Durham"
"Windfields Community Gardens",-78.906898,43.973577,"Durham"
"Whitby Ajax Garden Project",-79.012889,43.936894,"Durham"
"Bowmanville Allotment Gardens",-78.6628389,43.9075862,"Durham"
"220 Oak St",-79.3574236,43.6630958,"Toronto"
"855 Roselawn Ave",-79.441512,43.7018751,"Toronto"
"Alex Wilson Community Garden",-79.4006308,43.6473248,"Toronto"
"Alexandra Park Diversity Garden",-79.4049646,43.6517657,"Toronto"
"Ashbridges Eco Garden",-79.3174833,43.6690485,"Toronto"
"Bain Community Garden",-79.348454,43.671488,"Toronto"
"Beach Edible Community Garden",-79.3116652,43.6618354,"Toronto"
"Bell Manor Garden",-79.4899773,43.6374955,"Toronto"
"Bill and Bob's Garden",-79.370055,43.6654894,"Toronto"
"Blackwell Children's Garden",-79.2202291,43.8053274,"Toronto"
"Bob Hunter Community Garden",-79.1604613,43.8022743,"Toronto"
"Braeburn Neighbourhood Place Community Garden",-79.545991,43.728982,"Toronto"
"Campbell-Rankin Community Garden",-79.4480898,43.6581515,"Toronto"
"Carrville Community Garden",-79.4581714,43.8432286,"Toronto"
"Cecil Community Centre Garden",-79.3985699,43.6563663,"Toronto"
"Cedarvale Park Community Garden",-79.4262569,43.6836719,"Toronto"
"Chalkfarm Community Garden",-79.5122873,43.7242099,"Toronto"
"Chester Le Olive Garden",-79.3327262,43.7998837,"Toronto"
"Dallington Pollinators Garden",-79.3576468,43.7741015,"Toronto"
"Dig In! Campus Agriculture",-79.3954943,43.660849,"Toronto"
"Dragon Alley Community Garden",-79.4338219,43.6527778,"Toronto"
"Dufferin Grove Recreation-led Community Gardens",-79.4336351,43.6569852,"Toronto"
"Duncan Mills Co-op Garden",-79.3478318,43.7637342,"Toronto"
"Dunn Parkette Learning Garden",-79.4352083,43.6395612,"Toronto"
"Earlscourt Community Garden",-79.4517345,43.6758675,"Toronto"
"East York Community Garden",-79.3112677,43.6975477,"Toronto"
"Ecology Park",-79.4026358,43.6683499,"Toronto"
"Eglinton Park Community Garden",-79.4045237,43.7069278,"Toronto"
"Emmett Ave Community Garden",-79.5081746,43.6854343,"Toronto"
"Flemingdon Park Community Garden",-79.3264346,43.7135421,"Toronto"
"Flemington Community Garden",-79.4485072,43.7218724,"Toronto"
"Fort York Community Garden",-79.4063243,43.6383509,"Toronto"
"Frankel Lambert Community Garden",-79.4226931,43.6731898,"Toronto"
"Fred's Wildflower Garden",-79.4204378,43.6527404,"Toronto"
"Gabrielle-Roy Community Garden",-79.3721626,43.6564529,"Toronto"
"Garrison Community Garden",-79.4100817,43.6408289,"Toronto"
"Glen Rd Garden",-79.3739944,43.6805829,"Toronto"
"Good Soil Community Garden",-79.5008022,43.7037471,"Toronto"
"Growing For Change Garden",-79.5040468,43.6064703,"Toronto"
"Growing to Give Garden",-79.4493874,43.8028466,"Toronto"
"Harmony Gardens",-79.3625278,43.6494328,"Toronto"
"Hillcrest Park Community Garden",-79.4230446,43.6755784,"Toronto"
"HOPE Garden",-79.4332473,43.6407674,"Toronto"
"Huron Street Community Garden",-79.3983019,43.6579668,"Toronto"
"Jackman Milennium Garden",-79.3539386,43.6806588,"Toronto"
"Jamestown Community Garden",-79.5887002,43.7347755,"Toronto"
"Kavanah Garden",-79.4639964,43.8545112,"Toronto"
"Leila Lane Community Garden",-79.4455169,43.7233796,"Toronto"
"Littles Rd Community Garden",-79.2070883,43.8180559,"Toronto"
"Lotherton Pathway Garden",-79.4684109,43.7059319,"Toronto"
"Maloca Garden @ York University",-79.5019411,43.7735368,"Toronto"
"Midland Community Garden",-79.2853258,43.7994721,"Toronto"
"Milky Way ESL Garden",-79.4320147,43.6409957,"Toronto"
"Ministry of the Environment Community Garden",-79.400973,43.6864054,"Toronto"
"MINTO Community Garden",-79.4001903,43.6421413,"Toronto"
"Miziwe Biik Aboriginal Community Garden",-79.3738815,43.6606612,"Toronto"
"Moss Park Community Garden",-79.370105,43.6561671,"Toronto"
"Mustard Seed Garden",-79.3475449,43.659115,"Toronto"
"Nashdene Garden",-79.2598712,43.8183441,"Toronto"
"Neilson Park Community Garden",-79.226585,43.8143306,"Toronto"
"New Horizons Community Garden",-79.5202966,43.6471746,"Toronto"
"Newtonbrook Neighbourhood Garden",-79.4150323,43.7870736,"Toronto"
"Northview Community Garden",-79.4451605,43.7740567,"Toronto"
