Gi.type,taxa,estimate,value
gardens,bird,richness,14
gardens,bird,richness,19
gardens,bird,richness,12
gardens,bird,richness,14
gardens,bird,richness,19
gardens,bird,richness,14
gardens,bird,richness,17
gardens,bird,richness,15
gardens,bird,richness,19
gardens,bird,richness,12
gardens,bird,richness,14
gardens,bird,richness,19
gardens,bird,richness,14
gardens,bird,richness,15
gardens,butterfly,richness,4
gardens,butterfly,richness,5
gardens,butterfly,richness,3
gardens,butterfly,richness,4
gardens,butterfly,richness,5
gardens,butterfly,richness,4
gardens,butterfly,richness,5
gardens,butterfly,richness,5
gardens,butterfly,richness,5
gardens,butterfly,richness,1
gardens,butterfly,richness,2
gardens,butterfly,richness,6
gardens,butterfly,richness,4
gardens,butterfly,richness,7
gardens,pollinator,species per visit,9.71
gardens,pollinator,species per visit,9.57
gardens,pollinator,species per visit,6.71
gardens,pollinator,species per visit,8.71
gardens,pollinator,species per visit,11
gardens,pollinator,species per visit,13.57
gardens,pollinator,species per visit,7.86
gardens,pollinator,species per visit,10
gardens,pollinator,species per visit,12.71
gardens,pollinator,species per visit,12.14
gardens,pollinator,species per visit,7.43
gardens,pollinator,species per visit,8.57
gardens,pollinator,species per visit,9
gardens,pollinator,species per visit,9
