Taxa,Species,Rep,Estimate,stat,value
plants,Achillea millefolium,3,Floral Abundance,mean,40.3
plants,Aegopodium podagraria,1,Floral Abundance,mean,77
plants,Agapanthus spp.,1,Floral Abundance,mean,1
plants,Agastache spp.,3,Floral Abundance,mean,16.3
plants,Ageratum spp.,2,Floral Abundance,mean,101
plants,Alcea rosea,1,Floral Abundance,mean,15
plants,Allium spp.,4,Floral Abundance,mean,3.5
plants,Alyssum spp.,6,Floral Abundance,mean,392.2
plants,Anethum graveolens,6,Floral Abundance,mean,33.2
plants,Antirrhinum spp.,4,Floral Abundance,mean,10
plants,Aquilegia spp.,3,Floral Abundance,mean,45.3
plants,Arctium lappa,2,Floral Abundance,mean,17.5
plants,Argyranthemum frustescens,2,Floral Abundance,mean,7.5
plants,Astilbe spp.,1,Floral Abundance,mean,100
plants,Barbarea verna,1,Floral Abundance,mean,20
plants,Begonia spp.,6,Floral Abundance,mean,149.2
plants,Borago officinalis,1,Floral Abundance,mean,61
plants,Brassica spp.,3,Floral Abundance,mean,29.3
plants,Brassica oleracea,1,Floral Abundance,mean,2
plants,Buddleja davidii,3,Floral Abundance,mean,34.3
plants,Calibrachoa spp.,3,Floral Abundance,mean,74.3
plants,Calystegia spp.,1,Floral Abundance,mean,18
plants,Campanula spp.,3,Floral Abundance,mean,19
plants,Capsicum spp.,3,Floral Abundance,mean,12.7
plants,Celosia spp.,3,Floral Abundance,mean,18.7
plants,Cerastium vulgatum,1,Floral Abundance,mean,4
plants,Chenopodium album,1,Floral Abundance,mean,8
plants,Clematis spp.,7,Floral Abundance,mean,61.7
plants,Cleome hassleriana,1,Floral Abundance,mean,18
plants,Commelina communis,13,Floral Abundance,mean,9
plants,Convolvulus spp.,7,Floral Abundance,mean,33
plants,Coreopsis spp.,8,Floral Abundance,mean,81.3
plants,Coriandrum sativum,4,Floral Abundance,mean,53.8
plants,Corydalis lutea,1,Floral Abundance,mean,195
plants,Cosmos bipinnatus,1,Floral Abundance,mean,10
plants,Cucumis sativus,8,Floral Abundance,mean,95.5
plants,Cucurbita pepo,6,Floral Abundance,mean,12
plants,Cyclamen persicum,2,Floral Abundance,mean,24
plants,Dahlia spp.,2,Floral Abundance,mean,5
plants,Daucus carota,4,Floral Abundance,mean,54.8
plants,Dianthus spp.,6,Floral Abundance,mean,78.2
plants,Digitalis spp.,1,Floral Abundance,mean,10
plants,Dodecatheon spp.,1,Floral Abundance,mean,2
plants,Echinacea purpurea,6,Floral Abundance,mean,73.7
plants,Erigeron strigosus,6,Floral Abundance,mean,67.5
plants,Fragaria spp.,3,Floral Abundance,mean,5.3
plants,Galinsoga ciliate,6,Floral Abundance,mean,566.2
plants,Geranium maculatum,2,Floral Abundance,mean,10
plants,Gladiolus spp.,3,Floral Abundance,mean,10
plants,Glechoma hederacea,1,Floral Abundance,mean,13
plants,Helianthus annuus,3,Floral Abundance,mean,6
plants,Hemerocallis spp.,4,Floral Abundance,mean,8.5
plants,Heuchera spp.,2,Floral Abundance,mean,30.5
plants,Hibiscus syriacus,6,Floral Abundance,mean,36.3
plants,Hosta spp.,13,Floral Abundance,mean,38.9
plants,Hoya carnosa,1,Floral Abundance,mean,14
plants,Hydrangea spp.,10,Floral Abundance,mean,123.8
plants,Hylotelephium,1,Floral Abundance,mean,3
plants,Impatiens spp.,15,Floral Abundance,mean,127.6
plants,Ipomoea purpurea,7,Floral Abundance,mean,18.6
plants,Iris spp.,1,Floral Abundance,mean,2
plants,Jasminum spp.,1,Floral Abundance,mean,3
plants,Lablab purpureus,2,Floral Abundance,mean,8
plants,Lactuca sativa,1,Floral Abundance,mean,59
plants,Lamium amplexicaule,2,Floral Abundance,mean,11
plants,Lamium maculatum,1,Floral Abundance,mean,25
plants,Lantana spp.,2,Floral Abundance,mean,6
plants,Lathyrus latifolius,3,Floral Abundance,mean,91
plants,Lavandula spp.,4,Floral Abundance,mean,200.8
plants,Lepidium spp.,11,Floral Abundance,mean,43.3
plants,Leucanthemum spp.,5,Floral Abundance,mean,56.2
plants,Liatris spicata,4,Floral Abundance,mean,6.3
plants,Ligustrum spp.,1,Floral Abundance,mean,44
plants,Lilium spp.,13,Floral Abundance,mean,21.8
plants,Linum usitatissimum,1,Floral Abundance,mean,51
plants,Lobelia erinus,5,Floral Abundance,mean,201.4
plants,Lonicera spp.,1,Floral Abundance,mean,43
plants,Lychnis coronaria,1,Floral Abundance,mean,58
plants,Malus spp.,1,Floral Abundance,mean,10
plants,Malva neglecta,1,Floral Abundance,mean,65
plants,Malva sylvestris,1,Floral Abundance,mean,52
plants,Melissa officinalis,1,Floral Abundance,mean,66
plants,Mentha spp.,11,Floral Abundance,mean,32.3
plants,Monarda spp.,4,Floral Abundance,mean,36.5
plants,Myosotis spp.,3,Floral Abundance,mean,8
plants,Nepeta cataria,3,Floral Abundance,mean,101.3
plants,Ocimum basilicum,5,Floral Abundance,mean,6.8
plants,Origanum spp.,2,Floral Abundance,mean,149.5
plants,Oxalis spp.,23,Floral Abundance,mean,35.6
plants,Pelargonium spp.,14,Floral Abundance,mean,17.9
plants,Penstemon spp.,1,Floral Abundance,mean,68
plants,Perovskia atriplicifolia,2,Floral Abundance,mean,840
plants,Petroselinum crispum,1,Floral Abundance,mean,14
plants,Petunia spp.,11,Floral Abundance,mean,123.7
plants,Phlox spp.,9,Floral Abundance,mean,51.4
plants,Physalis spp.,1,Floral Abundance,mean,50
plants,Physalis philadelphica,1,Floral Abundance,mean,9
plants,Phytolacca spp.,1,Floral Abundance,mean,35
plants,Plantago lanceolata,3,Floral Abundance,mean,15.7
plants,Plantago major,9,Floral Abundance,mean,58.6
plants,Platycodon grandiflorus,2,Floral Abundance,mean,17.5
plants,Polygonum spp.,10,Floral Abundance,mean,36.6
plants,Portulaca spp.,4,Floral Abundance,mean,10
plants,Ranunculus spp.,2,Floral Abundance,mean,36.5
plants,Ratibida spp.,1,Floral Abundance,mean,197
plants,Rhododendron spp.,1,Floral Abundance,mean,57
plants,Rondeletia leucophylla,1,Floral Abundance,mean,23
plants,Rosa spp.,23,Floral Abundance,mean,140
plants,Rubus spp.,1,Floral Abundance,mean,31
plants,Rudbeckia spp.,8,Floral Abundance,mean,128.6
plants,Salvia spp.,7,Floral Abundance,mean,117.5
plants,Salvia azurea,3,Floral Abundance,mean,51.3
plants,Salvia splendens,4,Floral Abundance,mean,38
plants,Saponaria officinalis,2,Floral Abundance,mean,78.5
plants,Scabiosa japonica,2,Floral Abundance,mean,34.5
plants,Sedum acre,4,Floral Abundance,mean,179
plants,Silene spp.,1,Floral Abundance,mean,19
plants,Solanum dulcamara,12,Floral Abundance,mean,16.3
plants,Solanum lycopersicum,15,Floral Abundance,mean,44.8
plants,Solanum melongena,1,Floral Abundance,mean,8
plants,Solanum ptycanthum,4,Floral Abundance,mean,22.5
plants,Solanum tuberosum,1,Floral Abundance,mean,11
plants,Sonchus oleraceus,15,Floral Abundance,mean,6.1
plants,Spirea spp.,3,Floral Abundance,mean,120.3
plants,Stachys spp.,1,Floral Abundance,mean,12
plants,Stellaria nemorum,2,Floral Abundance,mean,2
plants,Stokesia laevis,1,Floral Abundance,mean,5
plants,Sutera cordata,1,Floral Abundance,mean,17
plants,Syringa spp.,2,Floral Abundance,mean,73
plants,Tagetes spp.,12,Floral Abundance,mean,51.7
plants,Tanacetum parthenium,1,Floral Abundance,mean,54
plants,Taraxacum officinale,14,Floral Abundance,mean,6
plants,Thymus vulgaris,7,Floral Abundance,mean,167.6
plants,Torenia fournieri,1,Floral Abundance,mean,79
plants,Tradescantia spp.,4,Floral Abundance,mean,57.3
plants,Trifolium pratense,3,Floral Abundance,mean,5.3
plants,Trifolium repens,17,Floral Abundance,mean,648.7
plants,Triodanis perfoliata,2,Floral Abundance,mean,2.5
plants,Unidentified,15,Floral Abundance,mean,90.7
plants,Verbascum thapsus,1,Floral Abundance,mean,2
plants,Verbena spp.,6,Floral Abundance,mean,22.5
plants,Veronica spp.,1,Floral Abundance,mean,12
plants,Veronicastrum virginicum,1,Floral Abundance,mean,26
plants,Viburnum spp.,4,Floral Abundance,mean,42.8
plants,Vinca minor,5,Floral Abundance,mean,55.8
plants,Viola spp.,5,Floral Abundance,mean,225.6
plants,Weigela spp.,3,Floral Abundance,mean,95
plants,Zantedeschia aethiopica,3,Floral Abundance,mean,3
plants,Zinnia elegans,2,Floral Abundance,mean,15
plants,Achillea millefolium,3,Floral Abundance,se,24.9
plants,Aegopodium podagraria,1,Floral Abundance,se,0
plants,Agapanthus spp.,1,Floral Abundance,se,0
plants,Agastache spp.,3,Floral Abundance,se,5.9
plants,Ageratum spp.,2,Floral Abundance,se,24
plants,Alcea rosea,1,Floral Abundance,se,0
plants,Allium spp.,4,Floral Abundance,se,1.1
plants,Alyssum spp.,6,Floral Abundance,se,145.2
plants,Anethum graveolens,6,Floral Abundance,se,12.4
