Species,Family,Abundance,Garden.area.mean (m2),Garden.area.se (m2)
Afranthidium repetitum,Megachillidae,62,452.4814815,85.05488358
Amegilla bombiformis,Apidae,2,452.4814815,85.05488358
Amegilla sp,Apidae,100,452.4814815,85.05488358
Apis mellifera,Apidae,200,452.4814815,85.05488358
Exoneura sp,Apidae,3,452.4814815,85.05488358
Homalictus sp,Halictidae,30,452.4814815,85.05488358
Lasioglossum lanarium,Halictidae,1,452.4814815,85.05488358
Lipotriches flavoviridis,Halictidae,5,452.4814815,85.05488358
Lipotriches phanerura,Halictidae,24,452.4814815,85.05488358
Megachile serricauda,Megachillidae,27,452.4814815,85.05488358
Megachile sp.,Megachillidae,1,452.4814815,85.05488358
Tetragonula carbonaria,Apidae,1,452.4814815,85.05488358
Thyreus caeruleopunctatus,Apidae,1,452.4814815,85.05488358
