Location,Orders richness,taxa,estimate,Stat,Value
WT,2,arthropod,abundance,mean,1.5
MA,2,arthropod,abundance,mean,3.4
FS,1,arthropod,abundance,mean,5.8
CH,2,arthropod,abundance,mean,3.2
CC,2,arthropod,abundance,mean,4.6
AH,1,arthropod,abundance,mean,3.8
WT,2,arthropod,abundance,SD,2
MA,2,arthropod,abundance,SD,1.8
FS,1,arthropod,abundance,SD,4
CH,2,arthropod,abundance,SD,3.4
CC,2,arthropod,abundance,SD,2.3
AH,1,arthropod,abundance,SD,1.9
WT,2,arthropod,abundance,count,21
MA,2,arthropod,abundance,count,17
FS,1,arthropod,abundance,count,29
CH,2,arthropod,abundance,count,16
CC,2,arthropod,abundance,count,23
AH,1,arthropod,abundance,count,19
WT,2,arthropod,richness,mean,0.8
MA,2,arthropod,richness,mean,1.2
FS,1,arthropod,richness,mean,2.6
CH,2,arthropod,richness,mean,1.6
CC,2,arthropod,richness,mean,1.4
AH,1,arthropod,richness,mean,1.6
WT,2,arthropod,richness,SD,1
MA,2,arthropod,richness,SD,1.1
FS,1,arthropod,richness,SD,1.5
CH,2,arthropod,richness,SD,1.1
CC,2,arthropod,richness,SD,0.9
AH,1,arthropod,richness,SD,0.5
