Habitat,Family,Genus,Species,Urban Lot,Status
Brownfield,Andrenidae,Andrena,barbilabris,0,native
Brownfield,Andrenidae,Andrena,commoda,4,native
Brownfield,Andrenidae,Andrena,cressonii,1,native
Brownfield,Andrenidae,Andrena,dunningi,1,native
Brownfield,Andrenidae,Andrena,erigeniae,3,native
Brownfield,Andrenidae,Andrena,miserabilis,3,native
Brownfield,Andrenidae,Andrena,nasonii,5,native
Brownfield,Andrenidae,Andrena,perplexa,0,native
Brownfield,Andrenidae,Andrena,violae,0,native
Brownfield,Andrenidae,Andrena,wilkella,2,non-native
Brownfield,Andrenidae,Andrena,ziziae,0,native
Brownfield,Andrenidae,Calliopsis,andreniformis,4,native
Brownfield,Apidae,Anthophora,terminalis,1,native
Brownfield,Apidae,Apis,mellifera,40,non-native
Brownfield,Apidae,Bombus,fervidus,3,native
Brownfield,Apidae,Bombus,griseocollis,4,native
Brownfield,Apidae,Bombus,impatiens,15,native
Brownfield,Apidae,Bombus,perplexus,0,native
Brownfield,Apidae,Bombus,vagans,0,native
Brownfield,Apidae,Ceratina,calcarata,43,native
Brownfield,Apidae,Ceratina,mikmaqi,0,native
Brownfield,Apidae,Ceratina,strenua,0,native
Brownfield,Apidae,Holcopasites,calliopsidis,1,native
Brownfield,Apidae,Melissodes,bimaculatus,70,native
Brownfield,Apidae,Melissodes,druriellus,0,native
Brownfield,Apidae,Melissodes,trinodis,1,native
Brownfield,Apidae,Nomada,articulata,1,native
Brownfield,Apidae,Nomada,bidentate,1,native
Brownfield,Apidae,Nomada,cressonii,0,native
Brownfield,Apidae,Nomada,imbricata,1,native
Brownfield,Apidae,Nomada,luteoloides,1,native
Brownfield,Apidae,Nomada,maculata,1,native
Brownfield,Apidae,Nomada,pygmaea,0,native
Brownfield,Apidae,Peponapis,pruinosa,25,native
Brownfield,Apidae,Triepeolus,remigatus,0,native
Brownfield,Apidae,Xylocopa,virginica,3,native
Brownfield,Colletidae,Hylaeus,affinis,0,native
Brownfield,Colletidae,Hylaeus,affinis/modestus,0,native
