Road name,Road code,Tree count (no.),Species count (no.),Tree stocking (%)a,Tree density (trees/10 m)b,Tree aggregation (trees/lot)c,Species aggregation (species/lot)d,Species diversity (H')e,Road frontage (m),Road width (m),House lots (no.),Lots with trees (no.)
Cambridge Road,R1,110,31,76,1.38,8.46,2.38,2.99,800,12.5,17,13
Kent Road,R10,124,31,92,1.71,5.64,1.41,2.95,724,12.5,24,22
La Salle Road,R11,141,34,85,0.85,8.29,2,2.82,1660,20,20,17
Lancashire Road,R12,26,16,45,0.41,5.2,3.2,2.63,640,15,11,5
Moray Road,R13,6,5,67,0.25,3,2.5,1.56,236,7.5,3,2
Norfolk Road,R14,41,14,89,0.96,5.13,1.75,2.02,428,11,9,8
Oxford Road,R15,90,34,81,1.05,5.29,2,3.3,860,12.5,21,17
Rutland Quadrant,R16,43,20,88,0.73,6.14,2.86,2.72,590,12.5,8,7
Selkirk Road,R17,25,14,75,1.06,8.33,4.67,2.41,236,7.5,4,3
Somerset Road,R18,53,24,87,1.14,4.08,1.85,2.87,464,12.5,15,13
Stafford Road,R19,93,29,91,1.79,4.43,1.38,2.81,520,13,23,21
Cumberland Road,R2,124,27,71,0.89,3.88,0.84,2.62,1392,12.5,45,32
Suffolk Road,R20,69,16,75,1.34,7.67,1.78,2.11,516,16,12,9
Waterloo Road,R21,178,37,68,0.87,6.36,1.32,3.05,2050,30,41,28
Wiltshire Road,R22,13,9,78,0.55,1.86,1.29,1.95,238,11,9,7
York Road,R23,99,26,100,2.54,7.07,1.86,2.8,390,11,14,14
Devon Road,R3,73,24,80,2.37,9.13,3,2.88,308,12.5,10,8
Dorset Crescent,R4,63,19,100,1.54,5.73,1.73,2.5,410,12.5,11,11
Dumbarton Road,R5,15,2,100,1.67,15,2,0.5,90,18.5,1,1
Durham Road,R6,17,11,60,0.31,5.67,3.67,2.28,540,12.5,5,3
Essex Crescent,R7,73,20,100,1.11,6.64,1.82,2.49,655,12.5,11,11
Hampshire Road,R8,13,7,100,0.55,3.25,1.75,1.82,236,12.5,4,4
Hereford Road,R9,12,10,100,0.16,2.4,2,2.25,740,13.5,5,5
