,,,,Plant species and mycorrhizal colonization (%),,,,,,,,,,
City,Biofilter site ID,Mean annual rainfall (mm),Biofilter age (years),Carexÿappressa,Ficinia nodosa,Gahnia trifida,Gaura lindeimeri,Iris sp,Juncusÿflavidus,ÿJuncus krausii,Lomandra hystrix,Lomandra longifolia,Myoporumÿparvifolium,Poa labillardieri
Melbourne,Alleyne Ave 1,633,9,,,,,0,,,,,,
Melbourne,Alleyne Ave 2,613,3,,0,,0,,,,,,,
Melbourne,Avoca Crescent,511,10,,0,,,,,,,,,
Melbourne,Clifton Hill,558,7,,,,,,0,,,,,0
Melbourne,Cremorne St,619,12,,,,,,,,,0,,
Melbourne,Edinburgh Gardens,516,3,0,0,,,,0,,,0,,
Melbourne,Fernhill Rd,1041,2,,,,,,0,,,,,
Melbourne,Hereford Rd,1196,4,0,,,,,,,,,,
Melbourne,Morrison Reserve,1042,2,0,0,,,,12,,,,,
Melbourne,Parker St,511,10,,0,,,,,,,,,
Melbourne,Spring St,983,2,0,,,,,0,,,,,
Melbourne,Stringybark Creek Blvd N,983,2,,,,,,0,,,,,
Perth,Alcock St,804,4,,0,,,,,,,,,
Perth,Barlee St,644,5,,0,,,,,0,,,,
Perth,Calder Nook,672,6,,0,,,,,0,,,,
Perth,Channel View,674,9,,5,,,,,,,,0,
Perth,Kirkland Way,737,3,,0,,,,,0,,,,
Perth,Mead St,935,1,,0,,,,,16,,,,
Perth,Parkfield Blvd,803,2,,17,,,,,0,,,,
Perth,Sotheby Dr,735,6,,0,,,,,0,,,,
Perth,Splendid Gardens,735,6,,0,,,,,0,,,,
Perth,Strelly St,644,5,,,0,,,,0,,,,
Perth,Welcome Meander,735,6,,0,,,,,6,,,,
Sydney,Bay St,1207,5,0,0,,,,,,,,,
Sydney,Birubi Ave,1411,5,25,,,,,,,,,,
Sydney,Dawson Ave,1123,2,0,3,,,,,,,,,
Sydney,Karuah Rd,1430,7,,,,,,0,,,,,
Sydney,Kooloona Cr,1450,6,,0,,,,,,,,,
Sydney,Marriott St,1311,3,,19,,,,,,0,,,
Sydney,Normurra Ave,1364,8,,0,,,,3,,,,,
Sydney,Wolseley Grove,1236,14,,,,,,,,,,,
Sydney,Young St,1311,3,,,,,,,,,0,,
