Scientific name,Planted,Common name,Family,Life cycle
Achillea millefolium,ambient,Yarrow,Asteraceae,Perennial
Agrostemma githago,added,Corn cockle,Caryophyllaceae,Annual
Agrostis stolonifera,ambient,Creeping bent,Poaceae,Perennial
Anagallis arvensis,ambient,Scarlet pimpernel,Primulaceae,Annual
Anthyllis vulneraria,added,Kidney vetch,Fabaceae,Perennial
Arenaria serpyllifolia,ambient,Thyme-leaved sandwort,Caryophyllaceae,Annual
Artemisia vulgaris,ambient,Mugwort,Asteraceae,Perennial
Buddleja davidii,ambient,Butterfly bush,Scrophulariaceae,Perennial
Bupleurum rotundifolium,added,Thorow-wax,Apiaceae,Annual
Capsella bursa-pastoris,ambient,Shepherd's purse,Cruciferae,Annual/biennial
Catapodium rigidum,ambient,Fern grass,Poaceae,Annual
Centaurea cyanus,added,Cornflower,Asteraceae,Annual
Centaurea nigra,added,Black knapweed,Asteraceae,Perennial
Cerastium fontanum,ambient,Mouse-ear chickweed,Caryophyllaceae,Perennial
Chenopodium album,ambient,Fat hen,Chenopodiaceae,Annual
Cirsium vulgare,ambient,Spear thistle,Asteraceae,Biennial/perennial
Clinopodium vulgare,added,Wild basil,Lamiaceae,Perennial
Conyza canadensis,ambient,Canadian fleabane,Asteraceae,Annual
Crepis capillaris,ambient,Smooth hawksbeard,Asteraceae,Annual
Cymbalaria muralis,ambient,Ivy-leaved toadflax,Scrophulariaceae,Perennial
Diplotaxis tenuifolia,ambient,Perennial wall rocket,Brassicaeae,Perennial
Echium vulgare,added,Viper's bugloss,Boraginaceae,Biennial
Euphorbia peplus,ambient,Petty spurge,Euphorbiaceae,Annual
Festuca rubra,ambient,Red fescue,Poaceae,Perennial
Foeniculum vulgare,ambient,Fennel,Apiaceae,Perennial
Fragaria vesca,ambient,Wild strawberry,Rosaceae,Perennial
Galinsoga parviflora,ambient,Gallant soldier,Asteraceae,Annual
Galium aparine,ambient,Cleavers,Rubiaceae,Annual
Galium verum,added,Lady's bedstraw,Rubiaceae,Perennial
Geranium dissectum,ambient,Cut-leaved cranesbill,Geraniaceae,Annual
Geranium molle,ambient,Dovesfoot cranesbill,Geraniaceae,Annual
Glebionis segetum,added,Corn marigold,Asteraceae,Annual
Hirschfeldia incana,ambient,Hoary mustard,Brassicaeae,Annual/perennial
Holcus lanatus,ambient,Yorkshire fog,Poaceae,Perennial
Hypericum perforatum,added,Perforate St John's wort,Clusiaceae,Perennial
Knautia arvensis,added,Field scabious,Dipsacaceae,Perennial
Lactuca serriola,ambient,Prickly lettuce,Asteraceae,Annual
Lapsana communis,ambient,Nipplewort,Asteraceae,Annual
Leontodon autumnalis,ambient,Autumn hawkbit,Asteraceae,Perennial
Leontodon hispidus,added,Rough hawkbit,Asteraceae,Perennial
Leucanthemum vulgare,added,Oxeye daisy,Asteraceae,Perennial
