Genus,Species,Family,Tree Count,Relative Abundance,Spatial Occurrence,Aggregation Index,Visual Index
Glyptostrobus,pensilis,Taxodiaceae,6,0.4,1,6,18
Macaranga,tanarius var. tomentosa,Euphorbiaceae,6,0.4,6,1,2.34
Annona,squamosa,Annonaceae,5,0.33,5,1,2.4
Cocos,nucifera,Palmae,5,0.33,5,1,3.6
Dracontomelon,duperreanum,Anacardiaceae,5,0.33,5,1,3.6
Citrus,maxima,Rutaceae,4,0.27,4,1,1.76
Casuarina,cunninghamiana,Casuarinaceae,3,0.2,3,1,3.66
Cupressus,funebris,Cupressaceae,3,0.2,3,1,2.34
Erythrina,variegata,Papilionaceae,3,0.2,2,1.5,3.99
Eucalyptus,robusta,Myrtaceae,3,0.2,2,1.5,6
Litsea,glutinosa*,Lauraceae,3,0.2,3,1,2.34
Salix,babylonica,Salicaceae,3,0.2,3,1,2.67
Artocarpus,heterophyllus,Moraceae,2,0.13,2,1,2.5
Elaeocarpus,hainanensis,Elaeocarpaceae,2,0.13,1,2,8
Pinus,elliottii,Pinaceae,2,0.13,2,1,1.5
Pinus,massoniana*,Pinaceae,2,0.13,2,1,3
Syzygium,cumini,Myrtaceae,2,0.13,2,1,3.5
Acacia,mangium,Mimosaceae,1,0.07,1,1,3
Bischofia,javanica*,Euphorbiaceae,1,0.07,1,1,3
Cinnamomum,burmanii*,Lauraceae,1,0.07,1,1,3
Crateva,unilocularis,Capparidaceae,1,0.07,1,1,4
Yulania,denudata,Magnoliaceae,1,0.07,1,1,2
Melaleuca,cajuputi ssp. Cumingiana,Myrtaceae,1,0.07,1,1,2
Melia,azedarach,Meliaceae,1,0.07,1,1,4
Persea,americana,Lauraceae,1,0.07,1,1,3
Pongamia,pinnata*,Papilionaceae,1,0.07,1,1,4
Pterospermum,heterophyllum*,Sterculiaceae,1,0.07,1,1,3
Roystonea,regia,Palmae,1,0.07,1,1,3
Schefflera,heptaphylla*,Araliaceae,1,0.07,1,1,2
Spathodea,campanulata,Bignoniaceae,1,0.07,1,1,4
Syagrus,romanzoffiana,Palmae,1,0.07,1,1,2
Vitex,tripinnata,Verbenaceae,1,0.07,1,1,4
Juniperus,chinensis,Cupressaceae,269,17.92,55,4.89,8.07
Michelia,alba,Magnoliaceae,151,10.06,89,1.7,4.53
Dypsis,lutescens,Palmae,108,7.2,48,2.25,5.4
Delonix,regia,Caesalpiniaceae,83,5.53,63,1.32,4.15
Dimocarpus,longan,Sapindaceae,70,4.66,53,1.32,4.2
Araucaria,heterophylla,Araucariaceae,63,4.2,39,1.62,5.67
Archontophoenix,alexandrae,Palmae,61,4.06,18,3.39,10.98
Aleurites,moluccana,Euphorbiaceae,42,2.8,32,1.31,4.2
Casuarina,equisetifolia,Casuarinaceae,38,2.53,10,3.8,13.68
Bauhinia x Blakeana,sp.,Caesalpiniaceae,37,2.47,22,1.68,4.44
Litchi,chinensis,Sapindaceae,36,2.4,26,1.38,3.6
Syzygium,jambos,Myrtaceae,33,2.2,27,1.22,3.63
Caryota,maxima,Palmae,32,2.13,10,3.2,7.68
Magnolia,grandiflora,Magnoliaceae,29,1.93,23,1.26,3.19
Mangifera,indica,Anacardiaceae,27,1.8,23,1.17,3.24
Cinnamomum,camphora*,Lauraceae,26,1.73,15,1.73,4.94
Plumeria,rubra,Apocynaceae,26,1.73,19,1.37,3.12
Podocarpus,macrophyllus*,Podocarpaceae,25,1.67,17,1.47,3
Ficus,microcarpa*,Moraceae,24,1.6,15,1.6,4.56
Carica,papaya,Cariaceae,22,1.47,12,1.83,3.74
Bauhinia,variegata,Caesalpiniaceae,21,1.4,15,1.4,3.78
Manilkara,zapota,Sapotaceae,19,1.27,13,1.46,3.99
Araucaria,cunninghamii,Araucariaceae,17,1.13,11,1.55,5.1
Terminalia,catappa,Combretaceae,15,1,14,1.07,3.15
Artocarpus,nitidus ssp. lingnanensis,Moraceae,13,0.87,3,4.33,13
Callistemon,viminalis,Myrtaceae,13,0.87,7,1.86,4.68
Eriobotrya,japonica,Rosaceae,13,0.87,12,1.08,2.86
Psidium,guajava,Myrtaceae,12,0.8,11,1.09,2.76
Punica,granatum,Punicaceae,12,0.8,10,1.2,2.16
Senna,surattensis,Caesalpiniaceae,10,0.67,7,1.43,3.6
Clausena,lansium,Rutaceae,10,0.67,9,1.11,2.3
Ficus,elastica,Moraceae,10,0.67,10,1,2.9
Bombax,ceiba,Bombacaceae,9,0.6,8,1.13,3.87
Ficus,benjamina,Moraceae,9,0.6,8,1.13,2.61
Phoenix,roebelenii,Palmae,9,0.6,6,1.5,2.52
Acacia,confusa,Mimosaceae,7,0.47,5,1.4,4.41
Nerium,oleander,Apocynaceae,7,0.47,7,1,2.17
Ravenala,madagascariensis,Strelitziaceae,7,0.47,4,1.75,3.01
Celtis,sinensis*,Ulmaceae,6,0.4,6,1,3
Cycas,revoluta,Cycadaceae,6,0.4,4,1.5,2.52
