lat,lon,elevation,city,country,human.population,human.density,Species,Mean Tree density (per 200 m)
-30.342222,28.806111,1485,Matatiele,South Africa,0.012466,0.001153,Acer buergerianumMiq.,0.7
-30.342222,28.806111,1485,Matatiele,South Africa,0.012466,0.001153,Agathis robustaÿ(C. Moore ex F. Muell.) F.M. Bailey,0
-30.342222,28.806111,1485,Matatiele,South Africa,0.012466,0.001153,Bauhinia forficateJ.H.F. Link,0
-30.342222,28.806111,1485,Matatiele,South Africa,0.012466,0.001153,Betula pendulaÿRoth.,1.5
-30.342222,28.806111,1485,Matatiele,South Africa,0.012466,0.001153,Bignoniaceaesp.,0
-30.342222,28.806111,1485,Matatiele,South Africa,0.012466,0.001153,Brachychiton populneus(Schott & Endl.) R.Br.,0
-30.342222,28.806111,1485,Matatiele,South Africa,0.012466,0.001153,Cedrus deodara(Roxb. ex Lambert) G. Son,0.2
-30.342222,28.806111,1485,Matatiele,South Africa,0.012466,0.001153,Celtis africana*Burm. f.,0.3
-30.342222,28.806111,1485,Matatiele,South Africa,0.012466,0.001153,Celtis sinensisÿPers.,0
-30.342222,28.806111,1485,Matatiele,South Africa,0.012466,0.001153,Ceratonia siliqueÿL.,0
-30.342222,28.806111,1485,Matatiele,South Africa,0.012466,0.001153,Cotoneaster glaucophyllusFranch,0.1
-30.342222,28.806111,1485,Matatiele,South Africa,0.012466,0.001153,Delonix regia(Bojer) Raf.,0
-30.342222,28.806111,1485,Matatiele,South Africa,0.012466,0.001153,Erythrina caffra*Thunb.,0
-30.342222,28.806111,1485,Matatiele,South Africa,0.012466,0.001153,Fraxinus americanaMarsh.,0
-30.342222,28.806111,1485,Matatiele,South Africa,0.012466,0.001153,Fraxinus velutinaLingelsh.,0
-30.342222,28.806111,1485,Matatiele,South Africa,0.012466,0.001153,Fraxinusÿsp.,0.6
-30.342222,28.806111,1485,Matatiele,South Africa,0.012466,0.001153,Grevillea robustaÿA. Cunn. ex R.Br.,0
-30.342222,28.806111,1485,Matatiele,South Africa,0.012466,0.001153,Hakea salicifolia(Vent.) B.L. Burtt,0
-30.342222,28.806111,1485,Matatiele,South Africa,0.012466,0.001153,Harpephyllum caffrum* Bernh. ex Krauss,0
-30.342222,28.806111,1485,Matatiele,South Africa,0.012466,0.001153,Ligustrum lucidumÿAit.,0.1
-30.342222,28.806111,1485,Matatiele,South Africa,0.012466,0.001153,Ligustrum ovalifoliumHort ex Decne.,0
-30.342222,28.806111,1485,Matatiele,South Africa,0.012466,0.001153,Melia azedarachÿL.,0.1
-30.342222,28.806111,1485,Matatiele,South Africa,0.012466,0.001153,Morus japonicaSiebold.,1.9
-30.342222,28.806111,1485,Matatiele,South Africa,0.012466,0.001153,Musa paradisiacaÿL.,0
-30.342222,28.806111,1485,Matatiele,South Africa,0.012466,0.001153,Olea africana*(Mill.) P.S. Green,0.1
-30.342222,28.806111,1485,Matatiele,South Africa,0.012466,0.001153,Pinus halepensisMill.,0
-30.342222,28.806111,1485,Matatiele,South Africa,0.012466,0.001153,Pinusÿsp.,0
-30.342222,28.806111,1485,Matatiele,South Africa,0.012466,0.001153,Platanus acerifolia(Aiton) Willd.,1.2
-30.342222,28.806111,1485,Matatiele,South Africa,0.012466,0.001153,Robinia pseudoacaciaL.,0
-30.342222,28.806111,1485,Matatiele,South Africa,0.012466,0.001153,Schinus molleL.,0.1
-30.342222,28.806111,1485,Matatiele,South Africa,0.012466,0.001153,Schinus terebinthfoliusRaddi.,0
-30.342222,28.806111,1485,Matatiele,South Africa,0.012466,0.001153,Searsia lancea*ÿ(L.f.) F.A. Barkley,0.9
-30.342222,28.806111,1485,Matatiele,South Africa,0.012466,0.001153,Sophora japonicaÿL.,0
-30.342222,28.806111,1485,Matatiele,South Africa,0.012466,0.001153,Tamarix gallicaÿSieber ex Nyman.,0
-30.342222,28.806111,1485,Matatiele,South Africa,0.012466,0.001153,Thuja occidentalisL.,0
-30.342222,28.806111,1485,Matatiele,South Africa,0.012466,0.001153,Tremaÿsp.,0
-30.342222,28.806111,1485,Matatiele,South Africa,0.012466,0.001153,Ulmus parvifoliaJacq.,0
-30.342222,28.806111,1485,Matatiele,South Africa,0.012466,0.001153,Unknown,0
-30.992222,26.324722,1405,Burgersdorp,South Africa,0.01599,0.000533,Acer buergerianumMiq.,0
-30.992222,26.324722,1405,Burgersdorp,South Africa,0.01599,0.000533,Agathis robustaÿ(C. Moore ex F. Muell.) F.M. Bailey,0
-30.992222,26.324722,1405,Burgersdorp,South Africa,0.01599,0.000533,Bauhinia forficateJ.H.F. Link,0
-30.992222,26.324722,1405,Burgersdorp,South Africa,0.01599,0.000533,Betula pendulaÿRoth.,0.5
