lat,lon,elevation,city,country,human.population,human.density,Area (m2),Depth (m),Volume (m3),Detention,SiteID,habitat,,upstream
-27.466667,153.033333,8,Brisbane,Australia,2.408233,0.148,2600,1.2,1300,3-16 h,Golden Pond,concrete channel,"Annelida, Nematoda, Flatworms (?worms?)",3
-27.466667,153.033333,8,Brisbane,Australia,2.408233,0.148,2600,1.2,1300,3-16 h,Golden Pond,concrete channel,Gastropoda (water snails),5
-27.466667,153.033333,8,Brisbane,Australia,2.408233,0.148,2600,1.2,1300,3-16 h,Golden Pond,concrete channel,"Copepoda, Ostracoda, Cladocera*(microcustaceans)",3
-27.466667,153.033333,8,Brisbane,Australia,2.408233,0.148,2600,1.2,1300,3-16 h,Golden Pond,concrete channel,"Acarina*(water mites,spiders)",3
-27.466667,153.033333,8,Brisbane,Australia,2.408233,0.148,2600,1.2,1300,3-16 h,Golden Pond,concrete channel,Epiproctophora* (dragon?ies),5
-27.466667,153.033333,8,Brisbane,Australia,2.408233,0.148,2600,1.2,1300,3-16 h,Golden Pond,concrete channel,Zygoptera (damsel?ies),1
-27.466667,153.033333,8,Brisbane,Australia,2.408233,0.148,2600,1.2,1300,3-16 h,Golden Pond,concrete channel,Ephemeroptera (may?ies),1
-27.466667,153.033333,8,Brisbane,Australia,2.408233,0.148,2600,1.2,1300,3-16 h,Golden Pond,concrete channel,"Hemiptera* (water bugs, water boatmen, striders)",1
-27.466667,153.033333,8,Brisbane,Australia,2.408233,0.148,2600,1.2,1300,3-16 h,Golden Pond,concrete channel,"Diptera (?ies, mosquitoes)",2
-27.466667,153.033333,8,Brisbane,Australia,2.408233,0.148,2600,1.2,1300,3-16 h,Golden Pond,concrete channel,Coleoptera*(water beetles),1
-27.466667,153.033333,8,Brisbane,Australia,2.408233,0.148,2600,1.2,1300,3-16 h,Golden Pond,concrete channel,Trichoptera (caddis ?ies),0
-27.466667,153.033333,8,Brisbane,Australia,2.408233,0.148,2600,1.2,1300,3-16 h,Golden Pond,retention pond,"Annelida, Nematoda, Flatworms (?worms?)",6
-27.466667,153.033333,8,Brisbane,Australia,2.408233,0.148,2600,1.2,1300,3-16 h,Golden Pond,retention pond,Gastropoda (water snails),8
-27.466667,153.033333,8,Brisbane,Australia,2.408233,0.148,2600,1.2,1300,3-16 h,Golden Pond,retention pond,"Copepoda, Ostracoda, Cladocera*(microcustaceans)",5
-27.466667,153.033333,8,Brisbane,Australia,2.408233,0.148,2600,1.2,1300,3-16 h,Golden Pond,retention pond,"Acarina*(water mites,spiders)",5
-27.466667,153.033333,8,Brisbane,Australia,2.408233,0.148,2600,1.2,1300,3-16 h,Golden Pond,retention pond,Epiproctophora* (dragon?ies),11
-27.466667,153.033333,8,Brisbane,Australia,2.408233,0.148,2600,1.2,1300,3-16 h,Golden Pond,retention pond,Zygoptera (damsel?ies),5
