id,Title,Authors,Source Title,Year,exclude,reason,meta?,lat,lon,elevation,city,country,human.population,human.density,GI type,GI.control,ecological.measure,intentional.species,intentional.abd,abiotic.measure,distance.greenspace,site.number,area,perimeter,height
1,"Green Cellular Networks: A Survey, Some Research Issues and Challenges","Hasan, Ziaul; Boostanimehr, Hamidreza; Bhargava, Vijay K.",IEEE COMMUNICATIONS SURVEYS AND TUTORIALS,2011,y,review,,,,,,,,,,,,,,,,,,,
2,"Urban green space, public health, and environmental justice: The challenge of making cities 'just green enough'","Wolch, Jennifer R.; Byrne, Jason; Newell, Joshua P.",LANDSCAPE AND URBAN PLANNING,2014,y,review,,,,,,,,,,,,,,,,,,,
3,Classifying and valuing ecosystem services for urban planning,"Gomez-Baggethun, Erik; Barton, David N.",ECOLOGICAL ECONOMICS,2013,y,economics,,,,,,,,,,,,,,,,,,,
4,"Coupling biogeochemical cycles in urban environments: ecosystem services, green solutions, and misconceptions","Pataki, Diane E.; Carreiro, Margaret M.; Cherrier, Jennifer; Grulke, Nancy E.; Jennings, Viniece; Pincetl, Stephanie; Pouyat, Richard V.; Whitlow, Thomas H.; Zipperer, Wayne C.",FRONTIERS IN ECOLOGY AND THE ENVIRONMENT,2011,y,regulatory/ecosystem services,,,,,,,,,,,,,,,,,,,
5,"Comprehensive concept planning of urban greening based on ecological principles: a case study in Beijing, China","Li, F; Wang, RS; Paulussen, J; Liu, XS",LANDSCAPE AND URBAN PLANNING,2005,y,city or greenspace planning,,,,,,,,,,,,,,,,,,,
6,A cellular automata model of land cover change to integrate urban growth with open space conservation,"Mitsova, Diana; Shuster, William; Wang, Xinhao",LANDSCAPE AND URBAN PLANNING,2011,y,city or greenspace planning,,,,,,,,,,,,,,,,,,,
7,Planning for cooler cities: A framework to prioritise green infrastructure to mitigate high temperatures in urban landscapes,"Norton, Briony A.; Coutts, Andrew M.; Livesley, Stephen J.; Harris, Richard J.; Hunter, Annie M.; Williams, Nicholas S. G.",LANDSCAPE AND URBAN PLANNING,2015,y,conceptual framework,,,,,,,,,,,,,,,,,,,
8,Characterising the urban environment of UK cities and towns: A template for landscape planning,"Gill, Susannah E.; Handley, John F.; Ennos, A. Roland; Pauleit, Stephan; Theuray, Nicolas; Lindley, Sarah J.",LANDSCAPE AND URBAN PLANNING,2008,y,regulatory/ecosystem services,,,,,,,,,,,,,,,,,,,
9,Reconnecting Cities to the Biosphere: Stewardship of Green Infrastructure and Urban Ecosystem Services,"Andersson, Erik; Barthel, Stephan; Borgstrom, Sara; Colding, Johan; Elmqvist, Thomas; Folke, Carl; Gren, Asa",AMBIO,2014,y,conceptual framework,,,,,,,,,,,,,,,,,,,
10,"Water conservancy projects in China: Achievements, challenges and way forward","Liu, Junguo; Zang, Chuanfu; Tian, Shiying; Liu, Jianguo; Yang, Hong; Jia, Shaofeng; You, Liangzhi; Liu, Bo; Zhang, Miao",GLOBAL ENVIRONMENTAL CHANGE-HUMAN AND POLICY DIMENSIONS,2013,y,regulatory/ecosystem services,,,,,,,,,,,,,,,,,,,
11,"Green justice or just green? Provision of urban green spaces in Berlin, Germany","Kabisch, Nadja; Haase, Dagmar",LANDSCAPE AND URBAN PLANNING,2014,y,social impacts/human health,,,,,,,,,,,,,,,,,,,
12,"Urban gardens, agriculture, and water management: Sources of resilience for long-term food security in cities","Barthel, Stephan; Isendahl, Christian",ECOLOGICAL ECONOMICS,2013,y,food security/agriculture,,,,,,,,,,,,,,,,,,,
13,Establishing green roof infrastructure through environmental policy instruments,"Carter, Timothy; Fowler, Laurie",ENVIRONMENTAL MANAGEMENT,2008,y,policy,,,,,,,,,,,,,,,,,,,
14,Maryland's Green Infrastructure Assessment: Development of a comprehensive approach to land conservation,"Weber, T; Sloan, A; Wolf, J",LANDSCAPE AND URBAN PLANNING,2006,n,,no,,,,,,,,,,,,,,,,,,
