Sample # - this is the number of the sample collected in a trap during the time period covered in column C,Box # - this is the number on the box in which these vials of insects are contained,Date - this is the time period during which invertebrates were trapped for this sample,"ID - this is the location in the box for this vial, row A, column 1",Location - this is the location where the sample was collected (NHMU: Natural History Museum of Utah; Marr Lib: Marriot Library at the University of Utah),Roof/Ground - this is where the traps were located at each location (Ground: at ground level; roof: on the green roof),Combi/Pitfall - this is the type of trap used to collect the sample (Combi: combination trap that catches aerial invertebrate; Pitfall: pitfall trap that catches ground crawling invertebrates),Order - this is the taxonomic order of the collected invertebrates),Family - this is the taxonomic family of the invertebrates collected,Pollinator - this is whether or not the invertebrate is a known pollinator (Yes) or not (No),Amount - this is the number of each invertebrate of this morphospecies in the sample,Notes:,
1,1,6/10-6/17,A1,NHMU,Ground,Combi,Hymenoptera,Apidae,Yes,2,Labeled large bugs-Apisÿmellifera-Honey bee,
1,1,6/10-6/17,A1,NHMU,Ground,Combi,Hymenoptera,Andrenidae,Yes,2,"Labeled large bugs-Small bees with posterier black cell. Perdita (388, Fig. B-389)",
1,1,6/10-6/17,A1,NHMU,Ground,Combi,Diptera,,No,2,Labeled large bugs- very small fly - long antenae two black tiped tails,
2,1,6/10-6/17,A2,NHMU,Ground,Combi,Araneae,Spider,No,1,Labeled large bugs-spider,
3,1,6/10-6/17,A3,NHMU,Ground,Combi,Diptera,Muscidae,No,2,Labeled large bugs - House fly,
3,1,6/10-6/17,A3,NHMU,Ground,Combi,Coleoptera,Cerambycidae,No,1,"Labeled large bugs-Some kind of beetle, blister, soldier, Longhorn Beetle ",
3,1,6/10-6/17,A3,NHMU,Ground,Combi,Trichoptera,Limnephilidae,No,1,"Labeled large bugs, small tan moth",
4,1,6/10-6/17,A4,NHMU,Ground,Combi,Hemiptera,Pentatomidae,No,1,Labeled large bugs-Chinavia hilaris-Green stink bug,
4,1,6/10-6/17,A4,NHMU,Ground,Combi,Hemiptera,Coreidae,No,1,Labeled large bugs-Leptoglossus occidentalis-Western Conifer Seed Bug,
5,1,6/10-6/17,A5,NHMU,Roof,Pitfall,Hymenoptera,Braconidae,No,1,Waspish insect. Does not have two recurrent veins in wing. ,
5,1,6/10-6/17,A5,NHMU,Roof,Pitfall,Hymenoptera,Sphecidae,No,1,Labeled large bugs-Ammophilaÿprocera-Common Thread Waisted Wasp pg 385,
6,1,6/10-6/17,B1,Marr Lib,Ground,Pitfall,Polydesmida,Eurymerodesmus,No,3,Millipedes,
6,1,6/10-6/17,B1,Marr Lib,Ground,Pitfall,Isopoda,Armadillidiidae,No,1,Common pill bug,
7,1,6/10-6/17,B2,Marr Lib,Ground,Pitfall,Dermaptera,Labiduridae,No,1,Ring legged earwig,
8,1,6/10-6/17,B3,Marr Lib,Ground,Pitfall,Araneae,Spider,No,11,Assorted Spiders,
