Roof,Date,Green/Conventional,Taxa,Total
BXG,18/05/2011,Green,Hymenoptera,4
BXG,18/05/2011,Green,Diptera,305
BXG,18/05/2011,Green,Hemiptera,6
BXG,18/05/2011,Green,Isopoda,0
BXG,18/05/2011,Green,Araneae,0
BXG,18/05/2011,Green,Coleoptera,1
BXG,18/05/2011,Green,Collembola,16
BXG,18/05/2011,Green,Thysanoptera,12
BXG,18/05/2011,Green,Coleoptera,8
BXG,18/05/2011,Green,Araneae,10
BXG,18/05/2011,Green,Diptera,8
BXG,18/05/2011,Green,Hymenoptera,104
BXG,18/05/2011,Green,Hemiptera,3
BXG,18/05/2011,Green,Thysanoptera,117
BXG,18/05/2011,Green,Lepidoptera,3
BXG,25/05/2011,Green,Diptera,191
BXG,25/05/2011,Green,Hymenoptera,7
BXG,25/05/2011,Green,Araneae,24
BXG,25/05/2011,Green,Coleoptera,2
BXG,25/05/2011,Green,Lepidoptera larvae,1
BXG,25/05/2011,Green,Collembola,64
BXG,25/05/2011,Green,Thysanoptera,75
BXG,25/05/2011,Green,Hemiptera,8
BXG,25/05/2011,Green,Araneae,40
BXG,25/05/2011,Green,Diptera,130
BXG,25/05/2011,Green,Hymenoptera,4
BXG,25/05/2011,Green,Lepidoptera larvae,1
BXG,25/05/2011,Green,Hemiptera,6
BXG,25/05/2011,Green,Collembola,37
BXG,25/05/2011,Green,Thysanoptera,55
BXG,02/06/2011,Green,Orthoptera,15
BXG,02/06/2011,Green,Hemiptera,21
BXG,02/06/2011,Green,Isopoda,87
BXG,02/06/2011,Green,Araneae,21
BXG,02/06/2011,Green,Diptera,36
BXG,02/06/2011,Green,Coleoptera,5
BXG,02/06/2011,Green,Lepidoptera larvae,1
BXG,02/06/2011,Green,Collembola,31
BXG,02/06/2011,Green,Hymenoptera,9
BXG,02/06/2011,Green,Thysanoptera,631
BXG,02/06/2011,Green,Araneae,16
BXG,02/06/2011,Green,Coleoptera,4
BXG,02/06/2011,Green,Diptera,33
BXG,02/06/2011,Green,Isopoda,4
BXG,02/06/2011,Green,Orthoptera,6
BXG,02/06/2011,Green,Lepidoptera,6
BXG,02/06/2011,Green,Hymenoptera,11
BXG,02/06/2011,Green,Hemiptera,16
BXG,02/06/2011,Green,Thysanoptera,131
BXG,02/06/2011,Green,Collembola,31
BXG,14/06/2011,Green,Lepidoptera,71
BXG,14/06/2011,Green,Diptera,31
BXG,14/06/2011,Green,Hymenoptera,57
BXG,14/06/2011,Green,Coleoptera,9
BXG,14/06/2011,Green,Isopoda,1
BXG,14/06/2011,Green,Hemiptera,27
BXG,14/06/2011,Green,Thysanoptera,673
BXG,14/06/2011,Green,Collembola,3
BXG,14/06/2011,Green,Orthoptera,10
BXG,14/06/2011,Green,Araneae,3
BXG,14/06/2011,Green,Thysanoptera,489
BXG,14/06/2011,Green,Acari,1
BXG,14/06/2011,Green,Thysanoptera,1057
BXG,14/06/2011,Green,Diptera,7
BXG,14/06/2011,Green,Araneae,31
BXG,14/06/2011,Green,Coleoptera,3
BXG,14/06/2011,Green,Orthoptera,4
BXG,14/06/2011,Green,Hymenoptera,43
BXG,14/06/2011,Green,Thysanoptera,71
BXG,14/06/2011,Green,Collembola,4
BXG,14/06/2011,Green,Araneae,6
BXG,14/06/2011,Green,Coleoptera,2
BXG,14/06/2011,Green,Lepidoptera,24
BXG,14/06/2011,Green,Orthoptera,3
