Site,taxa,gradient,GI.type,Genus,Species,Estimate,Stat,Value
s1.BF,plants,grey,building footprint,acalypha,virginica,abundance,mean,0
s1.BF,plants,grey,building footprint,acer,negundo,abundance,mean,0
s1.BF,plants,grey,building footprint,ageratina,altissima,abundance,mean,0
s1.BF,plants,grey,building footprint,ailanthus,altissima,abundance,mean,0
s1.BF,plants,grey,building footprint,alliaria,petiolata,abundance,mean,0
s1.BF,plants,grey,building footprint,amaranthus,retroflexus,abundance,mean,0
s1.BF,plants,grey,building footprint,ambrosia,artemisiifolia,abundance,mean,0
s1.BF,plants,grey,building footprint,arctium,minus,abundance,mean,0
s1.BF,plants,grey,building footprint,artemisia,vulgaris,abundance,mean,0
s1.BF,plants,grey,building footprint,asclepias,syriaca,abundance,mean,0
s1.BF,plants,grey,building footprint,bidens,bipinnata,abundance,mean,0
s1.BF,plants,grey,building footprint,bidens,frondosa,abundance,mean,0
s1.BF,plants,grey,building footprint,bromus,arvensis,abundance,mean,0.666666667
s1.BF,plants,grey,building footprint,bromus,inermis,abundance,mean,0
s1.BF,plants,grey,building footprint,bromus,sp,abundance,mean,0
s1.BF,plants,grey,building footprint,bromus,tectorum,abundance,mean,0
s1.BF,plants,grey,building footprint,calystegia,sepium,abundance,mean,0
s1.BF,plants,grey,building footprint,capsella,bursa.pastoris,abundance,mean,0
s1.BF,plants,grey,building footprint,catalpa,,abundance,mean,0
s1.BF,plants,grey,building footprint,celastrus,orbiculatus,abundance,mean,0
s1.BF,plants,grey,building footprint,celtis,occidentalis,abundance,mean,0
s1.BF,plants,grey,building footprint,chamaesyce,maculata,abundance,mean,0
s1.BF,plants,grey,building footprint,chenopodium,album,abundance,mean,0
s1.BF,plants,grey,building footprint,cichorium,intybus,abundance,mean,2.666666667
s1.BF,plants,grey,building footprint,cirsium,arvense,abundance,mean,0
s1.BF,plants,grey,building footprint,clematis,terniflora,abundance,mean,0
s1.BF,plants,grey,building footprint,commelina,communis,abundance,mean,0
s1.BF,plants,grey,building footprint,convolvulus,arvensis,abundance,mean,0
s1.BF,plants,grey,building footprint,conyza,canadensis,abundance,mean,0
s1.BF,plants,grey,building footprint,cynodon,dactylon,abundance,mean,52.16666667
s1.BF,plants,grey,building footprint,cyperus,esculentus,abundance,mean,0
s1.BF,plants,grey,building footprint,dactylis,glomerata,abundance,mean,3.166666667
s1.BF,plants,grey,building footprint,daucus,carota,abundance,mean,25.83333333
s1.BF,plants,grey,building footprint,digitaria,,abundance,mean,0
s1.BF,plants,grey,building footprint,duchesnea,indica,abundance,mean,0
s1.BF,plants,grey,building footprint,echinochloa,crus.galli,abundance,mean,0
s1.BF,plants,grey,building footprint,elymus,repens,abundance,mean,0
s1.BF,plants,grey,building footprint,erigeron,annuus,abundance,mean,0
s1.BF,plants,grey,building footprint,euonymus,fortunei,abundance,mean,0
s1.BF,plants,grey,building footprint,festuca,arundinacea,abundance,mean,3.5
s1.BF,plants,grey,building footprint,galinsoga,quadriradiata,abundance,mean,0
